Make,Model,Year,MSRP
Bugatti,Veyron 16.4,2008,2065902
Bugatti,Veyron 16.4,2009,1705769
Lamborghini,Reventon,2008,1500000
Bugatti,Veyron 16.4,2008,1500000
Maybach,Landaulet,2012,1382750
Maybach,Landaulet,2011,1380000
Ferrari,Enzo,2003,643330
Lamborghini,Aventador,2014,548800
Lamborghini,Aventador,2015,548800
Lamborghini,Aventador,2016,535500
Maybach,62,2010,506500
Lamborghini,Aventador,2014,497650
Lamborghini,Aventador,2015,497650
Mercedes-Benz,SLR McLaren,2008,495000
Mercedes-Benz,SLR McLaren,2009,495000
Rolls-Royce,Phantom,2016,492425
Rolls-Royce,Phantom Drophead Coupe,2016,492000
Lamborghini,Aventador,2016,490700
Rolls-Royce,Phantom,2015,480175
Mercedes-Benz,SLR McLaren,2007,480000
Rolls-Royce,Phantom Drophead Coupe,2015,479775
Rolls-Royce,Phantom,2014,474990
Rolls-Royce,Phantom Drophead Coupe,2014,474600
Maybach,62,2012,470350
Maybach,62,2011,463000
Maybach,62,2010,456500
Maybach,57,2010,455500
Lamborghini,Murcielago,2010,450000
Rolls-Royce,Phantom Coupe,2016,449525
Lamborghini,Aventador,2016,443800
Lamborghini,Aventador,2015,441600
Lamborghini,Aventador,2014,441600
Porsche,Carrera GT,2004,440000
Porsche,Carrera GT,2005,440000
Rolls-Royce,Phantom Coupe,2015,438325
Rolls-Royce,Phantom Coupe,2014,433550
Maybach,62,2012,430450
Maybach,62,2011,423500
Maybach,57,2012,418950
Rolls-Royce,Phantom,2016,417825
Maybach,62,2010,417000
Maybach,57,2011,412000
Ferrari,599,2011,410000
Rolls-Royce,Phantom,2015,407400
Maybach,57,2010,405500
Rolls-Royce,Phantom,2014,402940
Lamborghini,Aventador,2016,399500
Lamborghini,Aventador,2015,397500
Lamborghini,Aventador,2014,397500
Lamborghini,Murcielago,2009,392400
Lamborghini,Murcielago,2009,382400
Maybach,57,2012,379050
Lamborghini,Murcielago,2008,378200
Lexus,LFA,2012,375000
Maybach,57,2011,372500
Lamborghini,Murcielago,2008,369200
Maybach,57,2010,366000
Lamborghini,Murcielago,2009,364000
Bentley,Azure T,2010,363000
Rolls-Royce,Corniche,2001,359990
Lamborghini,Murcielago,2009,354000
Lamborghini,Murcielago,2008,345400
Bentley,Brooklands,2009,340990
Bentley,Brooklands,2010,340990
Bentley,Continental GT3-R,2015,337000
Lamborghini,Murcielago,2008,336400
Bentley,Mulsanne,2016,335600
Rolls-Royce,Dawn,2016,335000
Bentley,Azure,2009,334990
Bentley,Azure,2008,329990
Bentley,Azure,2007,329990
Rolls-Royce,Ghost Series II,2016,329325
Bentley,Continental,2003,328990
Aston Martin,Vanquish,2016,320695
Ferrari,599,2011,320580
Ferrari,599,2009,320580
Ferrari,F12 Berlinetta,2015,319995
Bentley,Continental,2001,319900
Rolls-Royce,Ghost Series II,2015,319400
Bentley,Continental,2003,318990
Ferrari,F12 Berlinetta,2013,315888
Ferrari,F12 Berlinetta,2014,315888
Ferrari,612 Scaglietti,2009,313088
Ferrari,612 Scaglietti,2010,313088
Ferrari,612 Scaglietti,2011,313088
Ferrari,599,2009,310543
Ferrari,599,2010,310543
Bentley,Continental,2001,309900
Aston Martin,Vanquish,2016,305650
Rolls-Royce,Wraith,2016,304350
Bentley,Mulsanne,2015,303700
Bentley,Mulsanne,2016,303700
Rolls-Royce,Ghost,2014,303300
Aston Martin,Vanquish,2016,302695
